,age,gender,angry,disgust,fear,happy,sad,surprise,neutral,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,music_name,artist_name,artist_genres
14,14,28,Man,11.241203546524048,3.440957243583398e-05,0.5959738977253437,0.0011113994332845,13.43713104724884,0.0008583660928707,74.72369074821472,0.756,0.631,8,-9.512,0,0.0505,0.117,0,0.0809,0.938,154.003,audio_features,2LzPtYMEj4S44yoBVU7ccu,spotify:track:2LzPtYMEj4S44yoBVU7ccu,https://api.spotify.com/v1/tracks/2LzPtYMEj4S44yoBVU7ccu,https://api.spotify.com/v1/audio-analysis/2LzPtYMEj4S44yoBVU7ccu,108117,4,Supercolor,Gold School,[]
15,15,30,Man,19.278019666671756,0.000930785699893,4.877295717597008,0.0001213343239214,45.13100981712341,0.0021974212359054,30.710425972938538,0.566,0.815,9,-4.481,0,0.14,0.0737,0,0.12,0.672,169.961,audio_features,5cY8y2XgOfkAh4kSWLFKkz,spotify:track:5cY8y2XgOfkAh4kSWLFKkz,https://api.spotify.com/v1/tracks/5cY8y2XgOfkAh4kSWLFKkz,https://api.spotify.com/v1/audio-analysis/5cY8y2XgOfkAh4kSWLFKkz,185587,4,I Write Sins Not Tragedies,Panic! At The Disco,['modern rock']
16,16,27,Man,17.607411742210388,8.524388074874878,27.05378532409668,5.505624786019325,8.901406824588776,0.0578674662392586,32.349517941474915,0.58,0.916,3,-4.358,0,0.0387,0.000297,0,0.126,0.683,118.004,audio_features,5anCkDvJ17aznvK5TED5uo,spotify:track:5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/tracks/5anCkDvJ17aznvK5TED5uo,https://api.spotify.com/v1/audio-analysis/5anCkDvJ17aznvK5TED5uo,305907,4,Hail to the King,Avenged Sevenfold,"['alternative metal', 'nu metal']"
17,17,23,Man,5.290042709438225e-09,8.762814559469359e-19,2.884055407686992e-10,99.99994039535522,2.300317054892975e-10,3.364201575095649e-05,2.9258336553539262e-05,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4,Better Now,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
18,18,28,Man,2.1739766001701355,0.7204764056950808,1.0426233522593975,0.627007195726037,5.928870290517807,0.0013427652447717,89.50570225715637,0.793,0.575,8,-11.019,1,0.135,0.298,0,0.11,0.746,135.435,audio_features,6pan2rDVvM8Z0c70szJryt,spotify:track:6pan2rDVvM8Z0c70szJryt,https://api.spotify.com/v1/tracks/6pan2rDVvM8Z0c70szJryt,https://api.spotify.com/v1/audio-analysis/6pan2rDVvM8Z0c70szJryt,153623,4,When It Rains,Saib,"['chillhop', 'japanese chillhop']"
19,19,34,Man,98.42982292175292,0.2786462660878896,0.4782099742442369,2.79780554279796e-07,0.7774575147777796,0.0330018025124445,0.0028665886929957,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,spotify:track:0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4,Believer,Imagine Dragons,"['modern rock', 'rock']"
20,20,33,Man,1.0331499111088104e-10,7.100421518657803e-21,3.313512929748602e-12,99.9998927116394,6.053209489209621e-07,9.627692421781704e-13,0.000106295419755,0.825,0.483,8,-5.746,0,0.08,0.538,0,0.204,0.892,139.98,audio_features,2ZlCGeK30BLRNSPC832pNZ,spotify:track:2ZlCGeK30BLRNSPC832pNZ,https://api.spotify.com/v1/tracks/2ZlCGeK30BLRNSPC832pNZ,https://api.spotify.com/v1/audio-analysis/2ZlCGeK30BLRNSPC832pNZ,219933,4,Forever (feat. Post Malone & Clever),Justin Bieber,"['canadian pop', 'pop']"
21,21,30,Man,42.4815833568573,0.0088988883362617,16.77604466676712,0.1287022954784333,23.47461581230164,0.4609726835042238,16.669180989265442,0.675,0.175,6,-13.281,1,0.0596,0.891,0,0.11,0.387,69.027,audio_features,0X8GS74ebF546MbFebv6tx,spotify:track:0X8GS74ebF546MbFebv6tx,https://api.spotify.com/v1/tracks/0X8GS74ebF546MbFebv6tx,https://api.spotify.com/v1/audio-analysis/0X8GS74ebF546MbFebv6tx,125652,4,Ipanema,Linearwave,"['focus beats', 'lo-fi brasileiro']"
22,22,26,Man,4.0189046412706375,0.0005397716449806,59.65393781661987,0.1213978044688701,32.29360282421112,1.0901561938226223,2.8214603662490845,0.758,0.732,5,-5.511,0,0.051,0.489,0,0.13,0.924,90.038,audio_features,3oqC4Ta40ft6NnTJwcUTdi,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/tracks/3oqC4Ta40ft6NnTJwcUTdi,https://api.spotify.com/v1/audio-analysis/3oqC4Ta40ft6NnTJwcUTdi,185333,4,Pipa Voada (feat. Emicida),Rashid,"['brazilian hip hop', 'pop rap brasileiro', 'r&b brasileiro']"
23,23,22,Man,76.9879162311554,9.39361868290689e-06,0.0178362199221737,0.3310221945866942,2.7186578139662743,0.004796334542334,19.93976235389709,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,audio_features,7FIWs0pqAYbP91WWM0vlTQ,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/audio-analysis/7FIWs0pqAYbP91WWM0vlTQ,210800,4,Godzilla (feat. Juice WRLD),Eminem,"['detroit hip hop', 'hip hop', 'rap']"
24,24,23,Man,2.3104001350970904e-10,1.7764694009489346e-18,3.23176468225439e-10,99.68309998512268,1.0793214239024353e-08,0.000929071848077,0.3159692510962486,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,Sunflower - Spider-Man: Into the Spider-Verse,Various Artists,[]
25,25,26,Man,19.122985005378723,3.0024953190377346e-06,0.5600009113550186,0.000194801964426,16.34008437395096,0.0003797121053139,63.97635340690613,0.551,0.44,10,-8.559,1,0.0985,0.606,0,0.11,0.341,167.923,audio_features,5kfNriitmkNE8mUbZ7gbq8,spotify:track:5kfNriitmkNE8mUbZ7gbq8,https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8,https://api.spotify.com/v1/audio-analysis/5kfNriitmkNE8mUbZ7gbq8,210667,4,Saturday Nights,Khalid,"['pop', 'pop r&b']"
26,26,28,Man,28.832080503454147,0.0151378652079526,1.0882032669242303,0.0023152871076769,45.157626848503725,0.0032161689691295,24.901419889757648,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/tracks/7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333,4,death bed (coffee for your head),Powfu,['sad rap']
27,27,27,Man,79.8097872960821,9.40157510023414,2.9918875703945678,0.0130086306807541,7.098248499840677,0.020633082472687,0.6648548086160649,0.394,0.944,10,-6.506,0,0.0761,0.00178,0,0.298,0.265,105.338,audio_features,6QewNVIDKdSl8Y3ycuHIei,spotify:track:6QewNVIDKdSl8Y3ycuHIei,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,https://api.spotify.com/v1/audio-analysis/6QewNVIDKdSl8Y3ycuHIei,292581,4,Even Flow,Pearl Jam,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
28,28,31,Woman,0.000602380168857,0.0002932422830781,0.0013563317224907,98.1045126914978,1.6483966261148453,0.000154494216531,0.2446871250867843,0.782,0.685,4,-6.237,1,0.0309,0.166,0,0.16,0.603,118.016,audio_features,7vFoFDWqTX0mHzLfrF1Cfy,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy,https://api.spotify.com/v1/audio-analysis/7vFoFDWqTX0mHzLfrF1Cfy,180566,4,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,['dance pop']
29,29,25,Woman,9.884153895625705,0.0010723484322419,30.705060404840733,0.0137795455003072,14.14667899290794,0.2936188539411934,44.9556377503656,0.766,0.622,5,-5.292,0,0.101,0.0639,0,0.207,0.679,140.076,audio_features,2ZIZXWnU52s0C75sPYiwvh,spotify:track:2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/tracks/2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/audio-analysis/2ZIZXWnU52s0C75sPYiwvh,191493,4,Supernova,Ansel Elgort,[]
30,30,32,Woman,0.3458934809427548,4.799573789155027e-05,12.520194799911666,0.0069512327677839,6.688458126095422,0.0019630764005816,80.43649080017154,0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4,Memories,Maroon 5,['pop']
31,31,31,Man,88.15453052520752,11.132697761058807,0.0485323165776208,5.052010578765476e-05,0.6048134993761778,0.0003394977966308,0.0590388139244169,0.331,0.943,4,-3.188,0,0.0698,0.00721,0,0.242,0.296,94.612,audio_features,0COqiPhxzoWICwFCS4eZcp,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4,Bring Me To Life,Evanescence,['alternative metal']
32,32,30,Woman,1.0698190194119122e-08,2.2102354635092582e-14,1.0062418078878818e-10,99.99858736983462,1.831615302021581e-07,1.7485939073102147e-06,0.0014128247972538,0.611,0.462,0,-7.054,1,0.0646,0.558,0,0.131,0.377,59.635,audio_features,7npLlaPu9Mfno8hjk5OagD,spotify:track:7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/tracks/7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/audio-analysis/7npLlaPu9Mfno8hjk5OagD,215230,4,Girls Like You,Maroon 5,['pop']
33,33,35,Woman,45.893558859825134,6.918196380138397,9.153008460998535,0.0089692803157959,37.32644319534302,0.1203168765641748,0.5795088596642017,0.439,0.303,3,-10.839,1,0.0422,0.839,0,0.071,0.268,139.475,audio_features,02JIdsrod3BYucThfUFDUX,spotify:track:02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/tracks/02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/audio-analysis/02JIdsrod3BYucThfUFDUX,170787,3,Le Festin,Michael Giacchino,"['orchestral soundtrack', 'soundtrack']"
34,34,33,Woman,1.1424613185226915,58.9731514453888,13.461382687091827,0.0010169002052862,26.0494202375412,0.1893196487799286,0.1832473557442426,0.764,0.705,3,-5.279,0,0.0278,0.0371,0,0.0943,0.672,101.003,audio_features,0y60itmpH0aPKsFiGxmtnh,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4,Wait a Minute!,WILLOW,"['afrofuturism', 'pop', 'post-teen pop']"
35,35,32,Man,53.74921008935095,0.0008681343513563,3.3701580310056247,0.1360325770565959,24.556593544077103,0.1046322410860349,18.082509110273016,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4,Numb,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
36,36,31,Woman,3.482500317086163e-07,7.108931871299201e-12,1.6241384965914394e-06,99.46111447082583,3.995024279210318e-06,2.141524391214366e-05,0.5388523275283185,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,Shape of You,Ed Sheeran,"['pop', 'uk pop']"
37,37,31,Woman,51.0827512194366,0.0047071388585091,10.981042592587626,0.0016036478928951,28.18665374437891,0.0592073111694938,9.684039484503238,0.766,0.622,5,-5.292,0,0.101,0.0639,0,0.207,0.679,140.076,audio_features,2ZIZXWnU52s0C75sPYiwvh,spotify:track:2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/tracks/2ZIZXWnU52s0C75sPYiwvh,https://api.spotify.com/v1/audio-analysis/2ZIZXWnU52s0C75sPYiwvh,191493,4,Supernova,Ansel Elgort,[]
38,38,33,Man,31.79969787597656,0.0001455141841688,6.382672488689423,0.0027283454983262,48.17895293235779,0.0347769004292786,13.60102891921997,0.579,0.508,2,-9.484,1,0.027,0.00574,0,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4,Hotel California - 2013 Remaster,Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']"
39,39,29,Woman,20.41500210762024,1.8748653474176532e-05,0.4834288265556097,0.8788756094872952,2.371826209127903,0.0011538401849975,75.84969997406006,0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,audio_features,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp,313573,4,Killing In The Name,Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']"
40,40,33,Woman,1.2931117114589608e-09,1.0586830814879821e-13,2.9490312969393532e-08,99.99121427536012,5.6836907402768595e-08,1.41126661138552e-10,0.0087907035776879,0.779,0.516,10,-6.467,0,0.0521,0.148,0,0.0492,0.715,120.026,audio_features,48XkVAagIoQHCsOlJtXUd5,spotify:track:48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/tracks/48XkVAagIoQHCsOlJtXUd5,https://api.spotify.com/v1/audio-analysis/48XkVAagIoQHCsOlJtXUd5,247787,4,still feel.,half•alive,"['alt z', 'indie pop', 'modern alternative rock', 'modern rock']"
41,41,31,Woman,2.377735167415718,5.889637852535213e-07,0.5317837297280157,0.0061593636862015,3.992062703721201,0.0005093449392362,93.0917450080222,0.484,0.039,0,-28.557,1,0.048,0.991,0,0.133,0.118,112.814,audio_features,4cmE5SPvjKEzIHzhrLq9jO,spotify:track:4cmE5SPvjKEzIHzhrLq9jO,https://api.spotify.com/v1/tracks/4cmE5SPvjKEzIHzhrLq9jO,https://api.spotify.com/v1/audio-analysis/4cmE5SPvjKEzIHzhrLq9jO,197500,4,Always,Olivier DeGrasse,[]
42,42,30,Woman,5.236238241195679,5.622816274808429e-05,21.764911711215973,0.0010040808774647,50.691115856170654,4.2993686832915046e-06,22.306670248508453,0.402,0.0982,5,-19.814,0,0.0401,0.356,0,0.358,0.191,141.54,audio_features,56UsciEGCYrmCTSI3veuvC,spotify:track:56UsciEGCYrmCTSI3veuvC,https://api.spotify.com/v1/tracks/56UsciEGCYrmCTSI3veuvC,https://api.spotify.com/v1/audio-analysis/56UsciEGCYrmCTSI3veuvC,464040,3,As The Years Go Passing By,Gary Moore,"['album rock', 'blues rock', 'british blues', 'electric blues', 'hard rock', 'rock']"
43,43,27,Man,76.58898830413818,0.0017122019926318,0.3543409751728177,21.67901545763016,0.9674527682363988,0.2228555036708712,0.1856375019997358,0.541,0.96,0,-2.947,0,0.0505,0.0663,0,0.344,0.812,122.803,audio_features,0rmGAIH9LNJewFw7nKzZnc,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,222707,4,You Give Love A Bad Name,Bon Jovi,"['glam metal', 'rock']"
44,44,22,Woman,2.6432686841339883e-05,3.079082843566724e-07,1.587294373234865e-06,98.5784234311076,0.0043579099190538,0.001133630531888,1.4160529884930864,0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486,4,Memories,Maroon 5,['pop']
45,45,25,Man,0.4569171383181645,6.324338342943815e-06,0.1820286984558465,0.0779137213500623,2.6760995923161994,0.0078387614599322,96.59919183263877,0.479,0.0235,5,-26.168,1,0.0381,0.924,0,0.124,0.245,121.199,audio_features,5ErJuPKvaeopdg17OqmN8k,spotify:track:5ErJuPKvaeopdg17OqmN8k,https://api.spotify.com/v1/tracks/5ErJuPKvaeopdg17OqmN8k,https://api.spotify.com/v1/audio-analysis/5ErJuPKvaeopdg17OqmN8k,82307,4,The Laverie,Various Artists,[]
46,46,24,Woman,0.1088263117708265,5.944230565546604e-05,0.3868977539241314,0.0001919260284921,93.19599866867064,2.4848529278642676e-05,6.308004260063171,0.601,0.741,2,-5.569,1,0.0478,0.185,0,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4,Ghost,Justin Bieber,"['canadian pop', 'pop']"
