,age,gender,angry,disgust,fear,happy,sad,surprise,neutral,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,32,Man,92.75539517402649,0.0017425029000150971,1.5302582643926144,3.283614091742493e-05,5.704148858785629,3.5221166427845674e-06,0.008420277299592271,0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4
1,27,Man,0.025171109927772578,0.0001466430804706769,0.010572605145067656,96.78930025036932,1.2408545049044195,0.00015040751337174407,1.9338096713310284,0.539,0.926,2,-6.495,1,0.0499,0.014,0,0.36,0.454,136.279,audio_features,1VuBmEauSZywQVtqbxNqka,spotify:track:1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,https://api.spotify.com/v1/audio-analysis/1VuBmEauSZywQVtqbxNqka,246400,4
2,29,Man,45.82344864746622,0.004112435517083735,2.985844939103421,0.0005944214435257924,46.02346396586084,0.0035017741806698476,5.1590352600237885,0.508,0.471,0,-10.718,0,0.0385,0.783,0,0.25,0.117,81.995,audio_features,4NU4ZK3ncM05KPUc8JSuQ5,spotify:track:4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/tracks/4NU4ZK3ncM05KPUc8JSuQ5,https://api.spotify.com/v1/audio-analysis/4NU4ZK3ncM05KPUc8JSuQ5,131715,4
3,30,Man,66.15280508995056,0.06050717202015221,8.196913450956345,0.1078427187167108,16.896313428878784,2.6174308732151985,5.968189239501953,0.402,0.845,2,-6.459,1,0.0319,0.000676,0,0.158,0.686,174.727,audio_features,4yBiZFLXn0n9AUJ5sWO88k,spotify:track:4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/tracks/4yBiZFLXn0n9AUJ5sWO88k,https://api.spotify.com/v1/audio-analysis/4yBiZFLXn0n9AUJ5sWO88k,258717,4
4,34,Man,1.9546867812053226,0.0011986794041938021,1.221227314027868,0.013478689500808477,2.4606845181307642e-05,96.80933394320799,4.289525520801645e-05,0.286,0.703,4,-4.491,0,0.0348,0.00847,0,0.142,0.259,151.297,audio_features,7Hr1Ignop7cymbE3FbOtXa,spotify:track:7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/tracks/7Hr1Ignop7cymbE3FbOtXa,https://api.spotify.com/v1/audio-analysis/7Hr1Ignop7cymbE3FbOtXa,326813,4
5,30,Man,0.0028578373761934377,1.8039370511854604e-05,6.370574966600541,89.5249200433588,0.013676314672391603,0.006656385019172651,4.081286375965312,0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,audio_features,7dt6x5M1jzdTEt8oCbisTK,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/audio-analysis/7dt6x5M1jzdTEt8oCbisTK,231267,4
6,31,Man,0.22881831973791122,5.11739870034944e-05,48.175498843193054,0.029114395147189498,14.3731489777565,0.041508887079544365,37.1518611907959,0.292,0.0322,5,-25.073,1,0.0442,0.993,0,0.117,0.132,168.631,audio_features,2SlARTbg8VmWVF4cG7imB8,spotify:track:2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/tracks/2SlARTbg8VmWVF4cG7imB8,https://api.spotify.com/v1/audio-analysis/2SlARTbg8VmWVF4cG7imB8,128331,3
7,31,Man,14.02161055932108,0.048471789320180675,58.82982366262815,0.03838399944973734,15.538225504054159,8.193494867890767,3.3299880224459186,0.612,0.807,10,-2.81,1,0.0336,0.0495,0,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
8,25,Man,20.41068971157074,0.00202210976567585,12.16246634721756,0.008349587733391672,61.418163776397705,0.007743735477561131,5.990566685795784,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,audio_features,7x8dCjCr0x6x2lXKujYD34,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4
9,35,Man,0.00032908273454589304,1.608494952743767e-09,4.6824598496090196e-05,88.74536022488597,0.0046986440937513895,0.17652208692843757,11.073045262461337,0.588,0.856,9,-5.242,0,0.0316,0.000818,0,0.238,0.635,96.966,audio_features,7v4ziK63yNqkfHh8S3ZSR3,spotify:track:7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/tracks/7v4ziK63yNqkfHh8S3ZSR3,https://api.spotify.com/v1/audio-analysis/7v4ziK63yNqkfHh8S3ZSR3,175044,4
